 
 University of Bristol ACRC HPC Bluepebble Service
 -------------------------------------------------
 Job cloverleaf, jobid 326755.bp1, username td8469 - started execution at 10 :21:36 Fri 08/21/20 on node bp1-02-11-01.data.bp.acrc.priv
 
[0] MPI startup(): libfabric version: 1.9.0a1-impi
[0] MPI startup(): libfabric provider: tcp;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name                       Pin cpu
[0] MPI startup(): 68      65635    bp1-02-11-01.data.bp.acrc.priv  {68,196}
[0] MPI startup(): 69      65636    bp1-02-11-01.data.bp.acrc.priv  {69,197}
[0] MPI startup(): 70      65637    bp1-02-11-01.data.bp.acrc.priv  {70,198}
[0] MPI startup(): 71      65638    bp1-02-11-01.data.bp.acrc.priv  {71,199}
[0] MPI startup(): 72      65639    bp1-02-11-01.data.bp.acrc.priv  {72,200}
[0] MPI startup(): 73      65640    bp1-02-11-01.data.bp.acrc.priv  {73,201}
[0] MPI startup(): 74      65641    bp1-02-11-01.data.bp.acrc.priv  {74,202}
[0] MPI startup(): 75      65642    bp1-02-11-01.data.bp.acrc.priv  {75,203}
[0] MPI startup(): 76      65643    bp1-02-11-01.data.bp.acrc.priv  {76,204}
[0] MPI startup(): 77      65644    bp1-02-11-01.data.bp.acrc.priv  {77,205}
[0] MPI startup(): 78      65646    bp1-02-11-01.data.bp.acrc.priv  {78,206}
[0] MPI startup(): 79      65647    bp1-02-11-01.data.bp.acrc.priv  {79,207}
[0] MPI startup(): 80      65648    bp1-02-11-01.data.bp.acrc.priv  {80,208}
[0] MPI startup(): 81      65649    bp1-02-11-01.data.bp.acrc.priv  {81,209}
[0] MPI startup(): 82      65650    bp1-02-11-01.data.bp.acrc.priv  {82,210}
[0] MPI startup(): 83      65651    bp1-02-11-01.data.bp.acrc.priv  {83,211}
[0] MPI startup(): 84      65652    bp1-02-11-01.data.bp.acrc.priv  {84,212}
[0] MPI startup(): 85      65653    bp1-02-11-01.data.bp.acrc.priv  {85,213}
[0] MPI startup(): 86      65654    bp1-02-11-01.data.bp.acrc.priv  {86,214}
[0] MPI startup(): 87      65655    bp1-02-11-01.data.bp.acrc.priv  {87,215}
[0] MPI startup(): 88      65656    bp1-02-11-01.data.bp.acrc.priv  {88,216}
[0] MPI startup(): 89      65657    bp1-02-11-01.data.bp.acrc.priv  {89,217}
[0] MPI startup(): 90      65658    bp1-02-11-01.data.bp.acrc.priv  {90,218}
[0] MPI startup(): 91      65659    bp1-02-11-01.data.bp.acrc.priv  {91,219}
[0] MPI startup(): 92      65661    bp1-02-11-01.data.bp.acrc.priv  {92,220}
[0] MPI startup(): 93      65662    bp1-02-11-01.data.bp.acrc.priv  {93,221}
[0] MPI startup(): 94      65663    bp1-02-11-01.data.bp.acrc.priv  {94,222}
[0] MPI startup(): 95      65664    bp1-02-11-01.data.bp.acrc.priv  {95,223}
[0] MPI startup(): 96      65665    bp1-02-11-01.data.bp.acrc.priv  {96,224}
[0] MPI startup(): 97      65666    bp1-02-11-01.data.bp.acrc.priv  {97,225}
[0] MPI startup(): 98      65667    bp1-02-11-01.data.bp.acrc.priv  {98,226}
[0] MPI startup(): 99      65668    bp1-02-11-01.data.bp.acrc.priv  {99,227}
[0] MPI startup(): 100     65669    bp1-02-11-01.data.bp.acrc.priv  {100,228}
[0] MPI startup(): 101     65670    bp1-02-11-01.data.bp.acrc.priv  {101,229}
[0] MPI startup(): 102     65672    bp1-02-11-01.data.bp.acrc.priv  {102,230}
[0] MPI startup(): 103     65673    bp1-02-11-01.data.bp.acrc.priv  {103,231}
[0] MPI startup(): 104     65674    bp1-02-11-01.data.bp.acrc.priv  {104,232}
[0] MPI startup(): 105     65675    bp1-02-11-01.data.bp.acrc.priv  {105,233}
[0] MPI startup(): 106     65676    bp1-02-11-01.data.bp.acrc.priv  {106,234}
[0] MPI startup(): 107     65677    bp1-02-11-01.data.bp.acrc.priv  {107,235}
[0] MPI startup(): 108     65678    bp1-02-11-01.data.bp.acrc.priv  {108,236}
[0] MPI startup(): 109     65679    bp1-02-11-01.data.bp.acrc.priv  {109,237}
[0] MPI startup(): 110     65681    bp1-02-11-01.data.bp.acrc.priv  {110,238}
[0] MPI startup(): 111     65682    bp1-02-11-01.data.bp.acrc.priv  {111,239}
[0] MPI startup(): 112     65683    bp1-02-11-01.data.bp.acrc.priv  {112,240}
[0] MPI startup(): 113     65684    bp1-02-11-01.data.bp.acrc.priv  {113,241}
[0] MPI startup(): 114     65686    bp1-02-11-01.data.bp.acrc.priv  {114,242}
